All,Всички
None,Не
"Allowed Scopes","Допустим обхват"
"You need more permissions to apply some of the rule updates.","Вие трябва да имате повече правомощия, за да може да промените част от правилата."
"You need more permissions to access website ""%1"".","Вие имате нужда от повече правомощия, за да достъпите сайт ""%1""."
"Role Scopes","Обхвати на роля"
Custom,"По избор"
"More permissions are needed to delete the ""%1"" item.","Правата ви не са достатъчни за да се изтрие ""%1"" елемент."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Този обект трябва да бъде зададен към изгледа на магазина. Проверете дали обекта е зададен правилно и опитайте отново."
"Orders can only be completed in an active store. Verify the store and try again.","Поръчките могат да бъдат завършени само в активен магазин. Проверете магазина и опитайте отново."
"This item needs to be assigned to a store view. Assign item and try again.","Този елемент трябва да бъде асоцииран към даден магазин. Насочете елемент и опитайте отново."
"More permissions are needed to save this item.","Повече права са необходими за да запазите този елемент."
"More permissions are needed to delete this item.","Повече права са необходими за да изтриете този елемент."
"More permissions are needed to view this item.","Повече права са необходими за да разгледате този елемент."
"At least one website or store group needs to be selected. Select and try again.","Необходимо е да бъде избран поне един уебсайт или група магазини. Изберете и опитайте отново."
"More permissions are needed to set All Scopes to a Role.","Необходими са повече права, за да зададете правата на потребителските роли."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","Идентификационният номер ""%1"" на уеб сайта е неправилен. Проверете идентификационния номер на уеб сайта и опитайте отново."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Идентификационният номер на магазина ""%1"" е неправилен. Проверете идентификационния номер на магазина и опитайте отново."
"More permissions are needed to save this setting.","Повече права са необходими за да запазите тази настройка."
"Read Details","Прочети повече"
"Mark as Read","Маркирай като прочетено"
"Are you sure?","Сигурни ли сте?"
Remove,Премахване
"Messages Inbox","Входящи съобщения"
"You have %1 new system messages","Вие имате %1 нови системни съобщения"
"You have %1 new system message","Вие имате %1 ново системно съобщение"
"Incoming Message","Входящо съобщение"
close,затвори
Notifications,Известия
"The message has been marked as Read.","Съобщението беше отбелязано като прочетено."
"We couldn't mark the notification as Read because of an error.","Заради грешка не успяхме да маркираме известието като прочетено."
"Please select messages.","Моля, изберете съобщения."
"A total of %1 record(s) have been marked as Read.","Общо %1 запис(а) бяха маркирани като прочетени."
"Total of %1 record(s) have been removed.","Общо %1 запис(а) бяха премахнати."
"We couldn't remove the messages because of an error.","Не успяхме да премахнем съобщенията поради грешка."
"The message has been removed.","Съобщението беше премахнато."
"1 Hour","1 час"
"2 Hours","2 часа"
"6 Hours","6 часа"
"12 Hours","12 часа"
